127.0.0.1 - - [30/Oct/2024:13:40:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:16 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:16 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:18 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:20 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:27 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:27 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:31 +0530] "GET /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6614
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:38 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:53 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:40:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:41:28 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6680
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:41:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:42:29 +0530] "GET /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6646
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:42:32 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:42:35 +0530] "GET /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6646
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:42:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:05 +0530] "GET /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:42 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:44 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:43:44 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:38 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:44 +0530] "GET /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6656
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:46 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:50 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:44:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:14 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7185
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:14 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:14 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:21 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6904
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:26 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:28 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7185
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:33 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6889
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:38 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6895
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:46 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:47:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:13 +0530] "GET /ORS_Project4/ctl/CartCtl?id=2 HTTP/1.1" 200 6691
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:21 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 200 6720
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:34 +0530] "POST /ORS_Project4/ctl/CartCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:34 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:40 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:40 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:46 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7214
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:49 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7214
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:48:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [30/Oct/2024:13:52:09 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 7215
