127.0.0.1 - - [19/Nov/2024:02:02:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:02:51 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:02:54 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:02:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:01 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:01 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 4138
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:04 +0530] "GET /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:09 +0530] "GET /ORS_Project4/ctl/StockListCtl HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:35 +0530] "POST /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:03:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:00 +0530] "POST /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 7050
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:23 +0530] "POST /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:50 +0530] "GET /ORS_Project4/ctl/StockListCtl HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:04:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:06:21 +0530] "GET /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:06:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:06:25 +0530] "GET /ORS_Project4/ctl/StockListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:06:25 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:06:28 +0530] "GET /ORS_Project4/ctl/StockListCtl HTTP/1.1" 500 889
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:09:27 +0530] "GET /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:09:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:09:30 +0530] "GET /ORS_Project4/ctl/StockListCtl HTTP/1.1" 200 7177
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:09:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:10:03 +0530] "GET /ORS_Project4/ctl/StockCtl?id=1 HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:10:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:10:07 +0530] "POST /ORS_Project4/ctl/StockCtl HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [19/Nov/2024:02:10:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
