0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:32 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:35 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7033
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:37 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:40 +0530] "GET /ORS_Project4/ctl/StaffCtl?id=2 HTTP/1.1" 200 6773
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:43 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:59 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:59 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:07 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:15 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:20 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 4697
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:22 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:28 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7052
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:42 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7042
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:30:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:19 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:24 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:31 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7051
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:40:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
