127.0.0.1 - - [05/Aug/2024:14:19:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:40 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:40 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:40 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:45 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:19:52 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:20:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 4204
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:20:07 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:20:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:20:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:20:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:21:15 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:21:15 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:21:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:23:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:23:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:12 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:17 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5372
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:43 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:24:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:31:47 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:33:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:33:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:26 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:27 +0530] "GET /ORS_Project4/ctl/TimeTableCtl HTTP/1.1" 200 8542
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:30 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9570
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:30 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:30 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:41 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9474
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:49 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9570
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:36:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:37:13 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:37:13 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8790
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:37:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:37:54 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:37:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:38:15 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:38:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:38:20 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9562
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:38:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:39:30 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [05/Aug/2024:14:39:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:12:27 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 2373
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:12:36 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:12:36 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:12:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:13:11 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6261
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:13:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:13:57 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:04 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9473
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:07 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:19 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 7258
0:0:0:0:0:0:0:1 - - [05/Aug/2024:16:14:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
