127.0.0.1 - - [23/Oct/2024:02:43:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:43:45 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:43:45 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:43:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:43:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:43:55 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:06 +0530] "GET /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6045
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:40 +0530] "POST /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:44:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:25 +0530] "GET /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:30 +0530] "POST /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:57 +0530] "GET /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6047
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:46:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:47:01 +0530] "POST /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6111
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:47:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Oct/2024:02:47:08 +0530] "POST /ORS_Project4/ctl/TransportationCtl HTTP/1.1" 200 6100
