0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:41:20 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:41:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:32 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:37 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:46 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:55:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:03:39 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 500 4081
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:06:13 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:06:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:06:56 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:06:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:13:11 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:13:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:13:17 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6343
0:0:0:0:0:0:0:1 - - [10/Oct/2024:11:13:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
