127.0.0.1 - - [02/Nov/2024:01:35:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:17 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:18 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:19 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:21 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:32 +0530] "GET /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:38 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:40 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:43 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:45 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6857
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:50 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6866
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:55 +0530] "POST /ORS_Project4/ctl/CartListCtl HTTP/1.1" 200 6866
0:0:0:0:0:0:0:1 - - [02/Nov/2024:01:35:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
