127.0.0.1 - - [24/Aug/2024:00:46:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:06 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:06 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:06 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:08 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Aug/2024:00:46:10 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:01:15 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:01:16 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:01:48 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:02:08 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:02:34 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:53:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:53:44 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:53:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:08 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:17 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:46 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:54:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:55:45 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [24/Aug/2024:01:55:48 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
