127.0.0.1 - - [15/Oct/2024:11:55:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:00 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:55 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:11:56:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:07:13 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:08:18 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:08:41 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:09:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:10:34 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:10:46 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:13:48 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:13:56 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:13:59 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:13:59 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:15:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:15:59 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:15:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:18:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5577
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:18:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:25 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5649
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:35 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:38 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:46 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:21:46 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:25:26 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:25:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:48:07 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:48:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:48:13 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6791
0:0:0:0:0:0:0:1 - - [15/Oct/2024:12:48:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:27:47 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:28:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2356
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:28:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:28:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:28:56 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [15/Oct/2024:14:28:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
