127.0.0.1 - - [10/Aug/2024:15:09:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:09:34 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:09:35 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:09:36 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:12:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:12:55 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:12:55 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:12:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:23:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:23:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:11 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:22 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:35:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [10/Aug/2024:15:36:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2811
