127.0.0.1 - - [05/Oct/2024:11:02:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:02:54 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:02:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:02:59 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:03:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:03:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:30 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:40 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:44 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10751
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:53 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 7271
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:35:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:06 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:07 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:17 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:23 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:36:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:39:53 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8809
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:39:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:40:46 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10751
0:0:0:0:0:0:0:1 - - [05/Oct/2024:11:40:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:08 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:12 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:33 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 10751
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:41 +0530] "GET /ORS_Project4/ctl/UserCtl?id=5 HTTP/1.1" 200 8387
0:0:0:0:0:0:0:1 - - [05/Oct/2024:14:31:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
