127.0.0.1 - - [12/Nov/2024:12:21:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:47 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:48 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:50 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:52 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:21:59 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:22:04 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:40:54 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:40:58 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [12/Nov/2024:12:46:30 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:13:03 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:13:06 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:57:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:57:30 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:57:30 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:58:20 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6718
0:0:0:0:0:0:0:1 - - [12/Nov/2024:14:58:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Nov/2024:15:03:24 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8177
0:0:0:0:0:0:0:1 - - [12/Nov/2024:15:03:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
