127.0.0.1 - - [28/Oct/2024:00:34:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:36 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:37 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:38 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:41 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:48 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:51 +0530] "GET /ORS_Project4/ctl/ItemCtl HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:34:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:35:04 +0530] "GET /ORS_Project4/ctl/ItemCtl HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:35:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:35:22 +0530] "GET /ORS_Project4/ctl/ItemListCtl HTTP/1.1" 200 7712
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:35:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:36:31 +0530] "POST /ORS_Project4/ctl/ItemListCtl HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:36:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:36:36 +0530] "GET /ORS_Project4/ctl/ItemListCtl HTTP/1.1" 200 7712
0:0:0:0:0:0:0:1 - - [28/Oct/2024:00:36:41 +0530] "POST /ORS_Project4/ctl/ItemListCtl HTTP/1.1" 200 6767
