127.0.0.1 - - [19/Oct/2024:15:02:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:02:45 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:02:45 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:02:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:02:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:02:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:00 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:17 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:19 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8402
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:03:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:04:24 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:04:24 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:04:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:04:33 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8402
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:04:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:06:17 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:06:17 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9833
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:06:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:26 +0530] "GET /ORS_Project4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:26 +0530] "GET /ORS_Project4/doc/module-search-index.zip HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:26 +0530] "GET /ORS_Project4/doc/tag-search-index.zip HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:26 +0530] "GET /ORS_Project4/doc/module-search-index.js HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:26 +0530] "GET /ORS_Project4/doc/tag-search-index.js HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [19/Oct/2024:15:07:39 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2329
