127.0.0.1 - - [27/Jul/2024:13:43:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jul/2024:13:43:14 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [27/Jul/2024:13:43:14 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2024:13:43:14 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:18:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:38:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:37 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:41 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:43 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:47 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:49:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Jul/2024:15:57:56 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [27/Jul/2024:16:01:41 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
