127.0.0.1 - - [13/Sep/2024:18:25:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:02 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:03 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:06 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:16 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:25:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:20 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:23 +0530] "GET /ORS_Project4/ctl/UserCtl?id=2 HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:35 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:26:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:37:06 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:37:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:37:07 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:37:07 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:45:32 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:45:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:45:38 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6123
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:45:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:46:50 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:46:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:50:52 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8845
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:50:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:51:05 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 500 8688
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:51:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:51:45 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:55:04 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 3785
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:55:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:55:56 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:58:36 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:18:58:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:02:43 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:02:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:02:54 +0530] "GET /ORS_Project4/ctl/UserCtl?id=400 HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:02:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:02 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:15 +0530] "GET /ORS_Project4/ctl/UserCtl?id=11 HTTP/1.1" 200 8243
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:17 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8275
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:19 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:19 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:27 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:27 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:40 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:40 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:03:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:19 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 8662
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:25 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:27 +0530] "GET /ORS_Project4/ctl/UserCtl?id=4 HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:29 +0530] "POST /ORS_Project4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:29 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9432
0:0:0:0:0:0:0:1 - - [13/Sep/2024:19:04:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
